#Ejercicio,Org.,Econ.,Denominación,Previsiones Iniciales
2015,,10000,Participación Impuestos sobre la Renta Personas Físicas,2845220.0
2015,,11200,Impuesto sobre Bienes Inmuebles de Naturaleza Rústica,60000.0
2015,,11300,Impuesto sobre Bienes Inmuebles de Naturaleza Urbana,40160000.0
2015,,11500,Impuesto sobre Vehículos de Tracción Mecánica,10300000.0
2015,,11600,Impuestos sobre el Incremento del Valor de los Terrenos de Naturaleza Urbana,5500000.0
2015,,13000,Impuestos sobre Actividades Económicas,4700000.0
2015,,21000,Cesión relativa al Impuesto del Valor Añadido,4020930.0
2015,,22000,Impuesto sobre el alcohol y bebidas derivadas,46680.0
2015,,22001,Impuesto sobre la cerveza,16510.0
2015,,22003,Impuesto sobre las labores del tabaco,346220.0
2015,,22004,Impuesto sobre hidrocarburos,461660.0
2015,,22006,Impuesto sobre productos intermedios,990.0
2015,,29000,"Impuesto sobre Construcciones, Instalaciones y Obras",6893000.0
2015,,30100,Tasas servicio alcantarillado,1000.0
2015,,30200,Recogida y Gestión Residuos Solidos Urbanos,3000000.0
2015,,32100,Tasa por Licencias Urbanísticas,4061800.0
2015,,32500,Tasa por Expedición de Documentos,100000.0
2015,,32600,Tasa por retirada de vehículos,225000.0
2015,,32900,Tasa por prestación del servicio de extinción de incendios,60000.0
2015,,32902,Tasas por autorización administva y registro  animales potencialmente peligrosos,12000.0
2015,,32903,Tasa por Licencias de Apertura de establecimientos,1000000.0
2015,,32904,Utilización de instalaciones municipales para celebración matrimonios,25000.0
2015,,33100,Tasa por entrada vehículos a través de aceras y reservas de vía pública,510000.0
2015,,33200,"Tasa ocupación subsuelo, vuelo y suelo de terrenos de uso público",2000000.0
2015,,33300,"Tasa por ocupación de subsuelo, vuelo y suelo de terrenos de uso público",450000.0
2015,,33400,"Tasa apertura zanjas, calicatas y calas en terrenos uso público",20000.0
2015,,33500,Tasa por ocupación de terrenos de uso público con finalidad lucrativa,650000.0
2015,,33900,Tasa por instalación Quioscos en Vía Pública,17000.0
2015,,33901,"Tasa ocupación vía pública con puestos, barracas, casetas, espectáculos.",120000.0
2015,,33902,"Tasa por ocupación con mercancía, materiales construcción, escombros, vallas",160000.0
2015,,33903,Tasa ocupación de terrenos uso público con soportes publicitarios,147000.0
2015,,33904,Otras ocupaciones de terrenos de uso público,65000.0
2015,,34100,Programa Ayuda a Domicilio,140000.0
2015,,34101,Comedor para Desempleados,6000.0
2015,,34102,Servicios de sanidad y atención a animales abandonados,15200.0
2015,,34103,Servicio teleasistencia,35000.0
2015,,34104,Servicio comida a domicilio,45000.0
2015,,34200,Precio Público apertura de colegios en días no lectivos,90000.0
2015,,34202,Precio Público por derechos de matrícula y de examen del Conservatorio Municipal,155000.0
2015,,34300,Actividades Deportivas,655881.0
2015,,34301,Campus deportivo,31000.0
2015,,34302,Piscinas,263110.0
2015,,34303,Campeonatos Municipales,15775.0
2015,,34304,Alquiler instalaciones deportivas,100900.0
2015,,34400,Precio Público por la prestación de Servicios Culturales,270770.0
2015,,34900,Programas Área de Juventud,25000.0
2015,,34901,Otros Precios Públicos diversos,141647.0
2015,,38900,Reintegros Presupuestos Cerrados,400000.0
2015,,38902,Obras o Instalaciones a cargo de particulares,30000.0
2015,,38903,Reintegro por Transporte Tercera Edad,10000.0
2015,,39100,Multas por infracciones urbanísticas,250000.0
2015,,39110,Multas por infracciones tributarias y análogas,1300000.0
2015,,39120,Multas por infracciones de la Ordenanza de circulación,1500000.0
2015,,39190,Otras multas y sanciones,1000000.0
2015,,39211,Recargo de apremio,900000.0
2015,,39300,Intereses de demora,1000000.0
2015,,39700,Canon por aprovechamientos urbanísticos,3454900.0
2015,,39900,Otros ingresos varios,55000.0
2015,,39901,Recursos eventuales,1100.0
2015,,39902,Recogida selectiva de Residuos Sólidos Envases,505000.0
2015,,39903,Recogida Selectiva Papel y Cartón,117500.0
2015,,39905,Energía solar fotovoltaica,2000.0
2015,,39906,Convenio residuos eléctricos y electrónicos,10000.0
2015,,39907,Recogida selectiva de vidrio,14500.0
2015,,42010,Fondo Complementario de Financiación,46909800.0
2015,,42091,Programa tratamiento de la drogodependencia,35000.0
2015,,45002,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Servicios Sociales y Políticas de Igualdad,3261688.53
2015,,45030,Transferencias corrientes en cumplimiento de convenios suscritos con la Comunidad Autónoma en materia de Educación,1362669.19
2015,,45060,Otras transferencias corrientes convenios con la Comunidad Autónoma,46720.0
2015,,45081,Otras subvenciones corrientes de la Comunidad Autónoma: BESCAM,6311484.0
2015,,47001,De Empresas Objeto de Control de Calidad,157795.11
2015,,51400,"De sociedades mercantiles, entidades públicas empresariales y otros organismos p",541082.72
2015,,52000,Intereses de depósitos,1000.0
2015,,53701,De empresas privadas - Canal Isabel II,700000.0
2015,,54100,Producto de arrendamiento de fincas urbanas,
2015,,55000,Concesiones administrativas con contraprestación  periódica,949718.42
2015,,55100,Concesiones administrativas con contraprestación no periódica,1100.0
2015,,55200,Derecho de superficie con contraprestación periódica,393408.67
